ID,ari_ix_sav,cmi_ix_s01,cmi_ix_s02,cmi_ix_s03,cmi_ix_s04,cmi_ix_s05,cmi_ix_s06,cmi_ix_s07,cmi_ix_s08,cmi_ix_s09,cmi_ix_s10,cmi_ix_s11,cmi_ix_s12,tmp_dc_s01,tmp_dc_s02,tmp_dc_s03,tmp_dc_s04,tmp_dc_s05,tmp_dc_s06,tmp_dc_s07,tmp_dc_s08,tmp_dc_s09,tmp_dc_s10,tmp_dc_s11,tmp_dc_s12,pre_mm_s01,pre_mm_s02,pre_mm_s03,pre_mm_s04,pre_mm_s05,pre_mm_s06,pre_mm_s07,pre_mm_s08,pre_mm_s09,pre_mm_s10,pre_mm_s11,pre_mm_s12,pet_mm_s01,pet_mm_s02,pet_mm_s03,pet_mm_s04,pet_mm_s05,pet_mm_s06,pet_mm_s07,pet_mm_s08,pet_mm_s09,pet_mm_s10,pet_mm_s11,pet_mm_s12,aet_mm_s01,aet_mm_s02,aet_mm_s03,aet_mm_s04,aet_mm_s05,aet_mm_s06,aet_mm_s07,aet_mm_s08,aet_mm_s09,aet_mm_s10,aet_mm_s11,aet_mm_s12,snw_pc_s01,snw_pc_s02,snw_pc_s03,snw_pc_s04,snw_pc_s05,snw_pc_s06,snw_pc_s07,snw_pc_s08,snw_pc_s09,snw_pc_s10,snw_pc_s11,snw_pc_s12,clz_cl_smj,cls_cl_smj
72617.0,12.299999999999999,0.9499999999999998,0.8366666666666666,0.5033333333333333,-0.16666666666666666,-0.5333333333333333,-0.41,-0.3433333333333333,-0.02666666666666667,0.4166666666666667,0.7566666666666667,0.94,0.9666666666666667,-8.066666666666666,-7.666666666666667,-3.3666666666666667,3.6666666666666665,10.366666666666665,15.266666666666666,16.999999999999996,15.4,10.366666666666665,4.8,-0.8666666666666667,-5.266666666666667,40.0,30.666666666666668,36.666666666666664,38.666666666666664,44.666666666666664,70.33333333333333,79.33333333333333,86.66666666666667,77.33333333333333,69.0,65.33333333333333,55.666666666666664,2.0,5.0,18.333333333333332,47.333333333333336,95.33333333333333,119.33333333333333,120.33333333333333,89.33333333333333,45.0,17.0,4.0,2.0,2.0,5.0,18.333333333333332,46.0,84.33333333333333,92.0,84.66666666666667,62.333333333333336,34.0,14.0,3.6666666666666665,2.0,94.66666666666667,99.33333333333333,89.0,20.333333333333332,1.3333333333333333,1.6666666666666667,0.0,1.0,3.3333333333333335,24.666666666666668,64.33333333333333,91.66666666666667,7.0,40.0
72729.0,11.962499999999999,0.95,0.83375,0.48875,-0.18125000000000002,-0.5475000000000001,-0.44625,-0.33875,-0.0575,0.4,0.7525,0.935,0.96875,-8.0875,-7.775,-3.375,3.6125,10.225,15.2625,17.137500000000003,15.6125,10.4375,4.775,-0.875,-5.237500000000001,40.0,30.25,35.625,38.5,43.0,65.375,79.25,83.5,73.5,65.875,62.125,51.875,2.0,5.0,18.25,47.0,94.25,118.125,119.625,88.625,44.25,16.375,4.0,1.5,2.0,5.0,18.25,45.75,83.0,90.125,83.25,61.25,32.5,13.375,3.25,1.5,93.625,98.875,86.0,16.0,0.875,1.375,0.125,1.5,4.875,23.75,58.25,88.75,7.0,44.0
72552.0,12.099999999999998,0.9500000000000001,0.8385714285714286,0.5028571428571429,-0.18571428571428572,-0.5571428571428572,-0.4571428571428572,-0.35571428571428576,-0.054285714285714284,0.41571428571428576,0.7657142857142857,0.9399999999999997,0.9785714285714286,-7.828571428571428,-7.528571428571429,-3.1571428571428575,3.7428571428571433,10.35714285714286,15.428571428571429,17.300000000000004,15.700000000000001,10.571428571428571,5.014285714285714,-0.6857142857142857,-5.028571428571428,40.57142857142857,30.857142857142858,36.857142857142854,37.857142857142854,42.142857142857146,64.28571428571429,77.0,83.85714285714286,75.28571428571429,68.42857142857143,64.71428571428571,55.142857142857146,2.0,5.0,18.285714285714285,47.0,94.42857142857143,118.57142857142857,120.0,88.71428571428571,44.0,16.0,4.0,1.0,2.0,5.0,18.285714285714285,45.57142857142857,82.57142857142857,89.85714285714286,82.57142857142857,60.714285714285715,32.285714285714285,13.0,3.0,1.0,91.42857142857143,97.57142857142857,88.0,25.142857142857142,2.5714285714285716,2.5714285714285716,0.5714285714285714,2.4285714285714284,7.142857142857143,38.285714285714285,72.85714285714286,91.42857142857143,7.0,44.0
72605.0,11.928571428571427,0.9500000000000001,0.8328571428571429,0.48142857142857143,-0.1771428571428571,-0.5385714285714286,-0.4328571428571429,-0.3371428571428572,-0.049999999999999996,0.3885714285714286,0.74,0.9385714285714284,0.9628571428571427,-8.171428571428573,-7.785714285714285,-3.3999999999999995,3.714285714285714,10.428571428571429,15.285714285714286,17.057142857142857,15.514285714285714,10.385714285714286,4.857142857142857,-0.8714285714285716,-5.285714285714286,40.142857142857146,30.142857142857142,35.857142857142854,39.285714285714285,44.142857142857146,67.57142857142857,80.0,85.28571428571429,74.14285714285714,65.0,63.142857142857146,52.42857142857143,2.0,5.0,18.571428571428573,47.857142857142854,96.0,119.57142857142857,121.0,90.28571428571429,45.142857142857146,16.714285714285715,4.0,2.0,2.0,5.0,18.571428571428573,46.142857142857146,84.42857142857143,91.14285714285714,84.14285714285714,62.0,33.42857142857143,14.0,3.2857142857142856,2.0,97.28571428571429,98.14285714285714,89.57142857142857,27.857142857142858,1.8571428571428572,2.2857142857142856,0.5714285714285714,1.5714285714285714,6.285714285714286,36.57142857142857,74.42857142857143,94.28571428571429,7.0,44.0
72584.0,12.1,0.95,0.84,0.505,-0.165,-0.535,-0.435,-0.33,-0.045,0.4,0.745,0.94,0.96,-8.2,-7.8,-3.5,3.55,10.25,15.149999999999999,17.0,15.45,10.25,4.75,-0.95,-5.35,40.5,30.5,36.5,39.0,44.0,67.0,80.0,85.5,74.5,66.0,63.5,53.0,2.0,5.0,18.0,47.0,95.0,118.5,119.5,89.0,44.5,16.5,4.0,2.0,2.0,5.0,18.0,46.0,84.0,91.0,84.0,62.0,33.0,13.5,3.0,2.0,97.5,100.0,90.0,20.0,1.5,3.0,0.0,1.5,5.5,25.0,62.5,92.5,7.0,40.0
72585.0,12.0,0.9499999999999998,0.8366666666666666,0.49666666666666665,-0.17,-0.5366666666666667,-0.4366666666666667,-0.3333333333333333,-0.049999999999999996,0.3933333333333333,0.7399999999999999,0.94,0.96,-8.2,-7.8,-3.466666666666667,3.6,10.266666666666667,15.200000000000001,17.033333333333335,15.5,10.3,4.766666666666667,-0.9333333333333332,-5.333333333333333,40.333333333333336,30.333333333333332,36.0,39.0,44.0,66.66666666666667,80.0,85.0,74.0,65.33333333333333,63.0,52.333333333333336,2.0,5.0,18.0,47.333333333333336,95.0,118.66666666666667,119.66666666666667,89.33333333333333,44.666666666666664,16.666666666666668,4.0,2.0,2.0,5.0,18.0,46.0,84.0,91.0,84.0,62.0,33.0,13.666666666666666,3.0,2.0,97.66666666666667,99.66666666666667,90.0,21.0,1.6666666666666667,2.6666666666666665,0.0,1.6666666666666667,6.0,28.333333333333332,64.66666666666667,93.0,7.0,44.0
72588.0,11.714285714285714,0.9500000000000001,0.8328571428571427,0.4714285714285714,-0.18857142857142856,-0.5442857142857144,-0.44857142857142857,-0.3385714285714286,-0.07142857142857142,0.38,0.7342857142857142,0.9342857142857142,0.96,-8.200000000000001,-7.814285714285712,-3.414285714285714,3.6714285714285713,10.37142857142857,15.314285714285713,17.114285714285717,15.614285714285716,10.4,4.8571428571428585,-0.8714285714285716,-5.257142857142858,39.57142857142857,29.714285714285715,35.142857142857146,38.57142857142857,43.42857142857143,65.71428571428571,79.71428571428571,83.57142857142857,72.57142857142857,63.857142857142854,61.57142857142857,50.42857142857143,2.0,5.0,18.571428571428573,47.714285714285715,95.57142857142857,119.42857142857143,120.42857142857143,89.71428571428571,44.857142857142854,16.857142857142858,4.0,2.0,2.0,5.0,18.571428571428573,46.0,84.0,90.85714285714286,83.57142857142857,61.714285714285715,32.857142857142854,13.857142857142858,3.0,2.0,97.14285714285714,98.71428571428571,89.42857142857143,21.428571428571427,1.8571428571428572,2.142857142857143,0.0,2.142857142857143,6.857142857142857,32.285714285714285,68.71428571428571,92.42857142857143,7.0,44.0
72592.0,11.6,0.95,0.83,0.455,-0.195,-0.545,-0.455,-0.34,-0.08,0.375,0.73,0.93,0.96,-8.25,-7.85,-3.4,3.7,10.45,15.350000000000001,17.15,15.649999999999999,10.45,4.9,-0.8500000000000001,-5.25,39.5,29.5,34.5,38.5,43.5,65.5,79.5,83.0,71.5,63.0,61.0,49.5,2.0,5.0,19.0,48.0,96.0,120.0,121.0,90.0,45.0,17.0,4.0,2.0,2.0,5.0,19.0,46.0,84.0,91.0,83.5,62.0,33.0,14.0,3.0,2.0,97.0,98.0,90.0,22.0,2.0,2.0,0.0,3.0,7.0,34.0,73.0,94.0,7.0,44.0
72559.0,12.299999999999999,0.9500000000000001,0.835,0.5033333333333334,-0.17666666666666667,-0.5433333333333334,-0.43166666666666664,-0.35666666666666663,-0.026666666666666672,0.4283333333333334,0.765,0.9399999999999998,0.9700000000000001,-7.916666666666667,-7.55,-3.233333333333333,3.6999999999999993,10.366666666666667,15.333333333333334,17.133333333333336,15.533333333333333,10.433333333333334,4.916666666666667,-0.7666666666666666,-5.166666666666667,39.833333333333336,30.833333333333332,37.166666666666664,38.5,43.5,67.83333333333333,77.5,86.33333333333333,77.83333333333333,70.33333333333333,66.16666666666667,56.5,2.0,5.0,18.666666666666668,46.666666666666664,95.33333333333333,119.5,120.5,88.66666666666667,44.333333333333336,16.666666666666668,4.0,1.6666666666666667,2.0,5.0,18.666666666666668,45.666666666666664,83.66666666666667,91.16666666666667,83.5,61.333333333333336,33.166666666666664,14.0,3.8333333333333335,1.6666666666666667,94.83333333333333,98.5,89.5,25.166666666666668,1.6666666666666667,3.1666666666666665,0.6666666666666666,1.6666666666666667,6.166666666666667,34.166666666666664,73.66666666666667,91.33333333333333,7.0,44.0
,11.8,0.95,0.83,0.48,-0.2,-0.56,-0.46,-0.35,-0.07,0.4,0.76,0.94,0.97,-7.8,-7.5,-3.1,3.8,10.4,15.5,17.4,15.9,10.7,5.1,-0.6,-5.0,40.0,30.0,35.0,38.0,42.0,64.0,78.0,82.0,73.0,66.0,62.0,52.0,2.0,5.0,18.0,47.0,94.0,118.0,120.0,89.0,44.0,16.0,4.0,1.0,2.0,5.0,18.0,46.0,82.0,89.0,82.0,61.0,32.0,13.0,3.0,1.0,78.0,95.0,82.0,7.0,1.0,1.0,0.0,1.0,3.0,21.0,50.0,87.0,7.0,44.0
72610.0,12.3,0.95,0.84,0.515,-0.16,-0.53,-0.42,-0.33,-0.03,0.415,0.755,0.94,0.965,-8.149999999999999,-7.8,-3.45,3.55,10.25,15.2,16.95,15.4,10.25,4.75,-0.95,-5.35,40.5,31.0,37.0,39.5,45.0,69.0,80.0,86.5,76.5,67.5,64.5,54.5,2.0,5.0,18.0,47.0,95.0,119.0,120.0,89.5,44.5,16.5,4.0,2.0,2.0,5.0,18.0,46.0,84.0,92.0,84.5,62.5,34.0,14.0,3.5,2.0,97.5,99.5,90.0,25.0,1.5,2.0,0.0,1.5,5.5,24.0,63.0,93.0,7.0,40.0
72603.0,11.3375,0.95,0.8262499999999999,0.44375,-0.20125,-0.55,-0.45749999999999996,-0.34875,-0.0925,0.34875,0.7175,0.9325000000000001,0.96,-8.225,-7.8125,-3.4,3.825,10.6375,15.425,17.174999999999997,15.625,10.462499999999999,4.925,-0.8125,-5.2375,38.625,28.875,34.0,38.75,43.75,65.625,79.75,82.75,70.75,61.375,60.375,48.375,2.0,5.0,18.875,48.625,97.375,120.875,122.25,91.5,46.0,17.375,4.0,2.0,2.0,5.0,18.875,46.625,85.0,91.125,83.75,62.0,33.125,13.75,3.0,2.0,96.75,97.0,89.375,24.875,1.75,1.375,0.0,1.75,7.5,39.75,76.625,92.125,7.0,44.0
